,Random,Always_Sleep,Max_Throughput,Battery_Threshold,Smart_Heuristic,PPO,Random_Wrapped,Always_Sleep_Wrapped,Max_Throughput_Wrapped,Battery_Threshold_Wrapped,Smart_Heuristic_Wrapped,PPO_Wrapped
Random,0.0,-11.006141103499054,8.261067325467103,0.8356380239163224,-7.191119419052914,-16.982741071969535,-1.8210230766252986,-8.06803414149768,2.954207161241008,0.6859539047571904,-12.640023450819909,-12.929807475879421
Always_Sleep,11.006141103499054,0.0,10.622092214943804,2.1986056671701926,-3.9402531024137186,-12.923420524785211,2.208768208349737,-0.9802294337359847,4.340939738067852,1.9549417526782877,-8.469421505719016,-8.859179650438959
Max_Throughput,-8.261067325467103,-10.622092214943804,0.0,-3.6972039461228996,-11.126840519022087,-13.879626608637293,-8.350452837275851,-10.582354723331452,-1.9028043803405512,-3.5914278205374566,-12.97234792745219,-13.148312403322874
Battery_Threshold,-0.8356380239163224,-2.1986056671701926,3.6972039461228996,0.0,-3.4448483873137468,-4.4941199870038915,-1.4036427388932764,-2.3144941402342614,1.5012249313434711,-0.06892011818272867,-4.1022713971119,-4.236387289226351
Smart_Heuristic,7.191119419052914,3.9402531024137186,11.126840519022087,3.4448483873137468,0.0,-2.130120816474626,4.428188680639108,3.353094420029465,5.4552154766957015,3.1480185818790054,-1.2089806462961725,-1.5215505468862576
PPO,16.982741071969535,12.923420524785211,13.879626608637293,4.4941199870038915,2.130120816474626,0.0,8.26562727486724,9.715698915046902,6.614787412570562,4.104519031500579,1.1751041364627024,0.685370063765768
Random_Wrapped,1.8210230766252986,-2.208768208349737,8.350452837275851,1.4036427388932764,-4.428188680639108,-8.26562727486724,0.0,-2.4227496823057053,3.434363109829603,1.2264210575851726,-6.785427417490828,-7.081236979002227
Always_Sleep_Wrapped,8.06803414149768,0.9802294337359847,10.582354723331452,2.3144941402342614,-3.353094420029465,-9.715698915046902,2.4227496823057053,0.0,4.436947349752837,2.0663887568495625,-6.823200842870326,-7.214293867874049
Max_Throughput_Wrapped,-2.954207161241008,-4.340939738067852,1.9028043803405512,-1.5012249313434711,-5.4552154766957015,-6.614787412570562,-3.434363109829603,-4.436947349752837,0.0,-1.5162951425828344,-6.196809311552114,-6.328896541271537
Battery_Threshold_Wrapped,-0.6859539047571904,-1.9549417526782877,3.5914278205374566,0.06892011818272867,-3.1480185818790054,-4.104519031500579,-1.2264210575851726,-2.0663887568495625,1.5162951425828344,0.0,-3.744802082380853,-3.870989725724582
Smart_Heuristic_Wrapped,12.640023450819909,8.469421505719016,12.97234792745219,4.1022713971119,1.2089806462961725,-1.1751041364627024,6.785427417490828,6.823200842870326,6.196809311552114,3.744802082380853,0.0,-0.42219996668154974
PPO_Wrapped,12.929807475879421,8.859179650438959,13.148312403322874,4.236387289226351,1.5215505468862576,-0.685370063765768,7.081236979002227,7.214293867874049,6.328896541271537,3.870989725724582,0.42219996668154974,0.0
