config,policy,mean_reward,std_reward,delivery_rate,completion_rate,battery_final,images_transmitted,is_wrapped
buffer_minimal,Random,-1399.8110456855388,478.5593997547262,0.5848804008894213,0.45,0.2299082260756672,2417.7,False
buffer_minimal,Always_Sleep,-530.698592894865,19.276473027306345,0.0,1.0,0.7812418688015832,0.0,False
buffer_minimal,Max_Throughput,-2920.9054619074195,1568.6775039408037,0.7085546021134274,0.08,0.007770463159832377,3259.7,False
buffer_minimal,Battery_Threshold,-2587.9288933011594,951.1271211956241,0.6241370656503353,0.87,0.46014871290797926,4458.9,False
buffer_minimal,Smart_Heuristic,352.6730394194567,337.555085014348,0.5411611276579624,0.76,0.39726937205238827,3753.0,False
buffer_minimal,PPO,621.8090017143581,374.9206351438046,0.7772248466577936,0.36,0.17209611486582943,3130.14,False
buffer_minimal,Random_Wrapped,-1163.231328941621,194.50463126446095,0.5967143228614463,1.0,0.6327655901686532,3316.3,True
buffer_minimal,Always_Sleep_Wrapped,-427.03731885805377,119.35860546568263,0.05622632429172602,1.0,0.7797265698261281,419.5,True
buffer_minimal,Max_Throughput_Wrapped,-3441.3071877044154,712.8499470942646,0.6990639119964418,1.0,0.5828151894940305,5110.6,True
buffer_minimal,Battery_Threshold_Wrapped,-2436.7807781556635,913.1559847872647,0.7286391845724409,1.0,0.5945563585895697,5296.8,True
buffer_minimal,Smart_Heuristic_Wrapped,782.5331748480739,253.47007375194758,0.7181213101722542,1.0,0.6169054404585572,5247.3,True
buffer_minimal,PPO_Wrapped,829.5919076552432,239.6375730347676,0.7499069788092916,1.0,0.6185874827371506,4062.47,True
buffer_small,Random,-1281.3521483386353,436.21117966690923,0.5944604824948722,0.46,0.23852114707111688,2433.2,False
buffer_small,Always_Sleep,-530.698592894865,19.276473027306345,0.0,1.0,0.7812418688015832,0.0,False
buffer_small,Max_Throughput,-2923.3984361774847,1573.3418296515986,0.7070493160544156,0.08,0.007770463159832377,3259.7,False
buffer_small,Battery_Threshold,-2580.802017154715,953.6956654955474,0.6165357662270182,0.86,0.45016932198210113,4556.55,False
buffer_small,Smart_Heuristic,341.7757407389204,331.3586981822191,0.5298859826805942,0.76,0.39725697540194516,3808.65,False
buffer_small,PPO,630.172638115499,371.09571269994626,0.7812944529673185,0.35,0.16905702970388098,3469.16,False
buffer_small,Random_Wrapped,-1071.2216400165207,175.65608669224355,0.5798734691620319,1.0,0.6331163280607977,3312.05,True
buffer_small,Always_Sleep_Wrapped,-436.1252463580541,109.3768393533553,0.04931202930627371,1.0,0.7797265698261281,419.5,True
buffer_small,Max_Throughput_Wrapped,-3474.5829051530122,710.2984806627193,0.6797778594363083,1.0,0.5828151894940305,5110.6,True
buffer_small,Battery_Threshold_Wrapped,-2491.9544616527337,906.9689460547957,0.7022554609135567,1.0,0.5945563585895697,5296.8,True
buffer_small,Smart_Heuristic_Wrapped,762.4566256227649,246.6285860593261,0.7002584939767105,1.0,0.6168872064697684,5335.75,True
buffer_small,PPO_Wrapped,800.1724482226632,249.57045604149872,0.7237552421667346,1.0,0.618197158133108,4295.47,True
buffer_medium,Random,-1196.8929658145219,408.26023603716925,0.6081646774384482,0.45,0.23928876914639396,2413.2,False
buffer_medium,Always_Sleep,-530.698592894865,19.276473027306345,0.0,1.0,0.7812418688015832,0.0,False
buffer_medium,Max_Throughput,-2807.315348844229,1504.7751561334615,0.704119244427485,0.08,0.007770463159832377,3259.7,False
buffer_medium,Battery_Threshold,-2532.9241812991313,916.3713133413439,0.5705795684427784,0.86,0.45016438950683396,4584.1,False
buffer_medium,Smart_Heuristic,297.5211464473199,328.8996487641299,0.4901934908013334,0.76,0.3972343743061132,3829.0,False
buffer_medium,PPO,630.778271889677,375.09719528740453,0.7803968129506257,0.35,0.1691765433562864,3490.65,False
buffer_medium,Random_Wrapped,-1050.363070165712,163.42163906889044,0.5436143123418439,1.0,0.6323428651152194,3296.6,True
buffer_medium,Always_Sleep_Wrapped,-439.0018688580541,105.58821371384609,0.046936091031902306,1.0,0.7797265698261281,419.5,True
buffer_medium,Max_Throughput_Wrapped,-3387.119934700851,669.9225253702953,0.6279831845608732,1.0,0.5828151894940305,5110.6,True
buffer_medium,Battery_Threshold_Wrapped,-2462.2783590080844,872.6316608386918,0.6478415953722129,1.0,0.5945563585895697,5296.8,True
buffer_medium,Smart_Heuristic_Wrapped,673.1990193750697,247.59717822416218,0.6358520293985189,1.0,0.6168965878401472,5262.65,True
buffer_medium,PPO_Wrapped,787.9667319445675,248.14354893479006,0.7149920351773544,1.0,0.6185712293864576,4342.09,True
buffer_large,Random,-1223.7392590575841,433.5253382745151,0.5628289666747158,0.45,0.2296382671457191,2404.15,False
buffer_large,Always_Sleep,-530.698592894865,19.276473027306345,0.0,1.0,0.7812418688015832,0.0,False
buffer_large,Max_Throughput,-2869.9492791604916,1541.0926331903734,0.7047593457301048,0.08,0.007770463159832377,3259.7,False
buffer_large,Battery_Threshold,-2673.9338079149957,934.6968802587498,0.5029293954933293,0.86,0.45016438950683396,4584.1,False
buffer_large,Smart_Heuristic,-73.22887583903002,158.24613979309356,0.2442635186226086,0.76,0.39717938076869463,3764.55,False
buffer_large,PPO,628.1630037292488,374.94050264939574,0.7794922670583947,0.35,0.16909684496155944,3512.44,False
buffer_large,Random_Wrapped,-1189.1629745641183,142.01365744237074,0.4607686311995943,1.0,0.6333810464359708,3307.9,True
buffer_large,Always_Sleep_Wrapped,-439.0018688580541,105.58821371384609,0.046936091031902306,1.0,0.7797265698261281,419.5,True
buffer_large,Max_Throughput_Wrapped,-3563.699459860532,675.6021484351289,0.5651651086674857,1.0,0.5828151894940305,5110.6,True
buffer_large,Battery_Threshold_Wrapped,-2687.525691169738,882.8170143588319,0.5390246330764676,1.0,0.5945563585895697,5296.8,True
buffer_large,Smart_Heuristic_Wrapped,113.46960417991546,100.81464872186152,0.27812723960559027,1.0,0.6169265419458552,5114.05,True
buffer_large,PPO_Wrapped,793.6065629325756,250.65648781771432,0.7137579736028036,1.0,0.6185188966012336,4393.41,True
buffer_xlarge,Random,-1231.67035999373,460.31152143418274,0.5143660402254117,0.45,0.22981120145864434,2397.9,False
buffer_xlarge,Always_Sleep,-530.698592894865,19.276473027306345,0.0,1.0,0.7812418688015832,0.0,False
buffer_xlarge,Max_Throughput,-2775.205538572353,1520.8076240233856,0.6823228611358458,0.08,0.007770463159832377,3259.7,False
buffer_xlarge,Battery_Threshold,-2615.097068448198,924.9329333460194,0.4915210273698611,0.86,0.45016438950683396,4584.1,False
buffer_xlarge,Smart_Heuristic,-439.0050345090572,91.70339351039397,0.012477184297173219,0.76,0.39719263414734607,3283.75,False
buffer_xlarge,PPO,623.2335775938167,374.6636831750654,0.7755557896737403,0.35,0.16897616940436208,3563.0,False
buffer_xlarge,Random_Wrapped,-1204.3661268922197,146.91312168407484,0.41029047852415806,1.0,0.6330192768667287,3299.8,True
buffer_xlarge,Always_Sleep_Wrapped,-439.0018688580541,105.58821371384609,0.046936091031902306,1.0,0.7797265698261281,419.5,True
buffer_xlarge,Max_Throughput_Wrapped,-3505.7532602148194,678.3137080734047,0.5491357805301975,1.0,0.5828151894940305,5110.6,True
buffer_xlarge,Battery_Threshold_Wrapped,-2603.016405165281,859.5869452582407,0.525337865832076,1.0,0.5945563585895697,5296.8,True
buffer_xlarge,Smart_Heuristic_Wrapped,-263.42676325936566,116.0558642320785,0.04794523281335479,1.0,0.616905094386726,4698.9,True
buffer_xlarge,PPO_Wrapped,789.2044107485017,248.8928386442579,0.7118725745311114,1.0,0.6180566988470029,4487.55,True
