,Random,Always_Sleep,Max_Throughput,Battery_Threshold,Smart_Heuristic,PPO,Random_Wrapped,Always_Sleep_Wrapped,Max_Throughput_Wrapped,Battery_Threshold_Wrapped,Smart_Heuristic_Wrapped,PPO_Wrapped
Random,0.0,0.07558583882186125,1.0255539787277306,0.9258433349609333,-2.1231991406293,-2.5513690151304007,0.3735768755954169,-0.2811644284692539,1.2891434065992142,1.084042043387249,-2.2181285019844803,-2.3482810132840064
Always_Sleep,-0.07558583882186125,0.0,1.0432326885368572,0.9409055539658905,-3.518784764954082,-4.020755110674631,0.42962644839578645,-0.930891536116715,1.314758398153847,1.1056565533101195,-3.543123222342542,-3.60942213940487
Max_Throughput,-1.0255539787277306,-1.0432326885368572,0.0,-0.09146562515864953,-1.8057064354104007,-1.978963664682388,-0.8703517072682732,-1.152852283227487,0.2214552083944179,0.025031822646389645,-1.8527067505174923,-1.916771341181179
Battery_Threshold,-0.9258433349609333,-0.9409055539658905,0.09146562515864953,0.0,-1.7247764260813905,-1.9026720121939977,-0.7669698595281857,-1.0535332227170746,0.3141393567273572,0.11802907525598431,-1.773109680099337,-1.8389540818914119
Smart_Heuristic,2.1231991406293,3.518784764954082,1.8057064354104007,1.7247764260813905,0.0,-0.590795502369633,2.509164496736515,3.0089656271205123,2.0481805066459216,1.8851855995928601,-0.17344427068826215,-0.39306289367451247
PPO,2.5513690151304007,4.020755110674631,1.978963664682388,1.9026720121939977,0.590795502369633,0.0,2.9194044603257288,3.545755622548319,2.215129882237709,2.0621600761570873,0.4061344133313498,0.1739552934820484
Random_Wrapped,-0.3735768755954169,-0.42962644839578645,0.8703517072682732,0.7669698595281857,-2.509164496736515,-2.9194044603257288,0.0,-0.7745923345686461,1.1382661032174346,0.9249822982690711,-2.5946636866835844,-2.713770775661266
Always_Sleep_Wrapped,0.2811644284692539,0.930891536116715,1.152852283227487,1.0535332227170746,-3.0089656271205123,-3.545755622548319,0.7745923345686461,0.0,1.4205721395714457,1.218040872256359,-3.0630353075065155,-3.159551296401608
Max_Throughput_Wrapped,-1.2891434065992142,-1.314758398153847,-0.2214552083944179,-0.3141393567273572,-2.0481805066459216,-2.215129882237709,-1.1382661032174346,-1.4205721395714457,0.0,-0.19957177323177902,-2.0931342408733453,-2.1545064567490115
Battery_Threshold_Wrapped,-1.084042043387249,-1.1056565533101195,-0.025031822646389645,-0.11802907525598431,-1.8851855995928601,-2.0621600761570873,-0.9249822982690711,-1.218040872256359,0.19957177323177902,0.0,-1.932944161214645,-1.9980785267800198
Smart_Heuristic_Wrapped,2.2181285019844803,3.543123222342542,1.8527067505174923,1.773109680099337,0.17344427068826215,-0.4061344133313498,2.5946636866835844,3.0630353075065155,2.0931342408733453,1.932944161214645,0.0,-0.21966915877529763
PPO_Wrapped,2.3482810132840064,3.60942213940487,1.916771341181179,1.8389540818914119,0.39306289367451247,-0.1739552934820484,2.713770775661266,3.159551296401608,2.1545064567490115,1.9980785267800198,0.21966915877529763,0.0
