Policy,Wrapped,Mean_Reward,Std_Reward,Mean_Delivery,Completion_Rate,Energy_Efficiency,Images_TX,Wrapper_Failures,Wrapper_Completions
PPO_Wrapped,True,804.3394234433855,250.6772039691668,0.7234298726775857,1.0,5.71556282386319,4369.67,0.0,107736.0
Smart_Heuristic_Wrapped,True,695.5582212829281,259.8378937709687,0.6476642314508223,1.0,5.57915159558301,5319.625,0.0,107766.0
PPO,False,642.1981379541819,382.34030116643277,0.7836573047757659,0.365,3.1841820575933566,3508.94,,
Smart_Heuristic,False,324.089943983433,325.35197977420677,0.49988695443121267,0.745,4.4293349714072985,3909.8,,
Always_Sleep_Wrapped,True,-442.8429442031405,103.02779720182002,0.04474554174499122,1.0,27.938287127693275,399.5,0.0,23508.0
Always_Sleep,False,-531.5242858854942,20.03564327858947,0.0,1.0,28.5671366989418,0.0,,
Random_Wrapped,True,-1059.8447858996913,164.06982008556517,0.5496851173305995,1.0,6.297095405336138,3324.495,0.0,100479.0
Random,False,-1213.7800276600055,407.19869083692004,0.6154553142923778,0.495,3.941434583774259,2463.445,,
MPC_Short_Horizon,False,-1753.7002244488424,898.8067149084264,0.624079214085414,0.27,2.6402390789242904,2743.95,,
MPC_Greedy,False,-2100.3777458034137,1303.5435038295473,0.4501264472694556,0.235,2.376048713570581,3027.1,,
MPC_Short_Horizon_Wrapped,True,-2196.632662813497,390.93385101422706,0.6615964467770178,1.0,4.876858367439681,4530.425,0.0,115650.0
MPC_Adaptive,False,-2223.8219179038356,1201.919145757518,0.6131113374647851,0.225,2.425303200898299,2900.65,,
MPC_Long_Horizon,False,-2309.5030440445526,1258.8683055716442,0.5343244716855557,0.23,2.4225370158038673,2793.0,,
Battery_Threshold_Wrapped,True,-2507.748171959158,851.8235654053133,0.6600271415258538,1.0,4.426737599557499,5363.425,0.0,114821.0
Battery_Threshold,False,-2552.19667486087,946.2464011643201,0.5766902846333427,0.865,3.8748886895022254,4634.11,,
Max_Throughput,False,-2808.121346539319,1522.1704156992016,0.7028470938912902,0.095,2.0661062029017665,3260.125,,
MPC_Greedy_Wrapped,True,-2854.391825624673,818.0316847367748,0.6392217962406062,1.0,4.37129409619375,5290.75,0.0,118152.0
MPC_Adaptive_Wrapped,True,-2951.4554344978123,574.0515002702099,0.6522831368140771,1.0,4.545039552323321,4876.225,0.0,119129.0
MPC_Long_Horizon_Wrapped,True,-3076.0838193869927,575.6558947896783,0.6505387097844132,1.0,4.494078744007354,4949.375,0.0,120236.0
Max_Throughput_Wrapped,True,-3421.90749158005,672.1220718836527,0.6389274084059445,1.0,4.301382959751557,5182.325,0.0,124057.0
