Policy,Wrapped,Mean_Reward,Std_Reward,Mean_Delivery,Completion_Rate,Energy_Efficiency,Images_TX,Wrapper_Failures,Wrapper_Completions
PPO_Wrapped,True,789.2044107485017,248.8928386442579,0.7118725745311114,1.0,5.484665967700384,4487.55,0.0,54939.0
PPO,False,623.2335775938167,374.6636831750654,0.7755557896737403,0.35,3.043619685881802,3563.0,,
Smart_Heuristic_Wrapped,True,-263.42676325936566,116.0558642320785,0.04794523281335479,1.0,5.37286842813687,4698.9,0.0,54868.0
Always_Sleep_Wrapped,True,-439.0018688580541,105.58821371384609,0.046936091031902306,1.0,26.76092436663707,419.5,0.0,11864.0
Smart_Heuristic,False,-439.0050345090572,91.70339351039397,0.012477184297173219,0.76,4.270757886414282,3283.75,,
Always_Sleep,False,-530.698592894865,19.276473027306345,0.0,1.0,27.333831155291,0.0,,
Random_Wrapped,True,-1204.3661268922197,146.91312168407484,0.41029047852415806,1.0,6.064852702390433,3299.8,0.0,51111.0
Random,False,-1231.67035999373,460.31152143418274,0.5143660402254117,0.45,3.66249776583534,2397.9,,
Battery_Threshold_Wrapped,True,-2603.016405165281,859.5869452582407,0.525337865832076,1.0,4.273033036046659,5296.8,0.0,58660.0
Battery_Threshold,False,-2615.097068448198,924.9329333460194,0.4915210273698611,0.86,3.7583618705156163,4584.1,,
Max_Throughput,False,-2775.205538572353,1520.8076240233856,0.6823228611358458,0.08,2.086072338301356,3259.7,,
Max_Throughput_Wrapped,True,-3505.7532602148194,678.3137080734047,0.5491357805301975,1.0,4.152433588716802,5110.6,0.0,63358.0
