Policy,Mean Reward,Std Reward,Delivery Rate,Completion Rate,Energy Efficiency,Wrapper Failures,Wrapper Fixes
Unwrapped PPO,613.7906,383.6306,0.7524,0.3500,3.0126,,
Wrapped PPO,778.8119,262.8579,0.6960,1.0000,5.4477,0.0000,0.0000
